State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AL,suburban-large,0.06993007,6.321678322,6.783216783,4.055944056,80.48951049,2.27972028,7150
AL,rural-distant,0.142431698,0.181276706,6.020976305,2.473132203,90.13336786,1.048815227,7723
AL,rural-remote,9.672830725,0.248933144,25.46230441,0.782361309,62.76671408,1.06685633,2812
AL,rural-remote,0.056593096,0.113186191,99.20769666,0.169779287,0.396151669,0.056593096,1767
AL,rural-remote,0.313479624,0.470219436,4.937304075,3.056426332,89.81191223,1.410658307,1276
AL,rural-remote,0.321802092,0.040225261,0.925181014,1.246983105,97.06355591,0.402252615,2486
AK,rural-remote,95.18193225,0.451693852,0.150564617,0.426599749,3.38770389,0.401505646,3985
AK,rural-remote,99.50322901,0.099354198,0.049677099,0.049677099,0.248385494,0.049677099,2013
AK,rural-remote,97.84482759,0,0,0.215517241,1.293103448,0.646551724,464
AK,rural-remote,98.5915493,0,0,0,1.408450704,0,355
AK,rural-fringe,86.80555556,2.546296296,0.231481481,0,10.41666667,0,432
AK,rural-remote,74.05857741,9.623430962,0,2.928870293,10.041841,3.347280335,239
AK,rural-remote,36,24,0,16,12,12,25
AK,rural-remote,99.23857868,0.050761421,0,0,0.507614213,0.203045685,1970
AK,rural-remote,58.53658537,3.25203252,1.62601626,0.81300813,28.45528455,7.317073171,123
AK,rural-remote,59.36675462,1.846965699,1.583113456,0,31.39841689,5.80474934,379
AK,rural-remote,18.96024465,22.01834862,0.305810398,6.727828746,47.09480122,4.892966361,327
AK,rural-remote,42.27272727,3.181818182,0.681818182,1.818181818,45.45454545,6.590909091,440
AK,rural-remote,21.16104869,1.872659176,0.187265918,1.872659176,62.17228464,12.7340824,534
AK,rural-remote,3.258145363,1.754385965,1.629072682,7.142857143,81.45363409,4.761904762,798
AK,rural-remote,52.32067511,0.421940928,0,2.109704641,10.97046414,34.17721519,474
AK,suburban-small,14.60544532,1.59206276,1.153668666,3.045685279,76.25749885,3.345639132,4334
AK,town-remote,29.21052632,10.78947368,0.578947368,2.578947368,52.36842105,4.473684211,1900
AK,city-large,8.049144044,17.69501784,5.842630652,11.80947649,41.19653101,15.40719996,44278
AK,town-remote,17.79844291,9.493944637,1.232698962,5.817474048,50.0216263,15.63581315,4624
AK,town-remote,29.68,10.32,0.48,4.64,49.68,5.2,1250
AK,rural-remote,13.90977444,2.255639098,0.37593985,2.255639098,79.32330827,1.879699248,266
AK,rural-remote,57.65765766,0,2.702702703,8.108108108,9.90990991,21.62162162,111
AK,rural-remote,72.36842105,7.894736842,0,1.315789474,5.263157895,13.15789474,76
AK,rural-remote,93.75,2.083333333,0,1.041666667,3.125,0,96
AK,rural-remote,9.1231503,1.443072031,0.42802984,4.402592638,72.81399046,11.78916473,8177
AK,rural-remote,57.48031496,1.57480315,0,10.23622047,19.68503937,11.02362205,127
AK,town-remote,19.13402062,26.02061856,0.577319588,9.072164948,39.54639175,5.649484536,2425
AK,rural-remote,79.27170868,0,1.400560224,0.280112045,12.60504202,6.442577031,357
AK,town-distant,15.86460541,3.353696547,1.564642813,2.736566513,71.4499439,5.03054482,16042
AK,rural-remote,58.13148789,1.730103806,0.346020761,2.76816609,33.56401384,3.460207612,289
